Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
4,127,University of North Florida (FL),P,R/R,4YR JR,147.0,New York Yankees, Frank,German, Frank German,SignedBonus,347500.0,2018
5,157,Troy University (AL),CF,R/R,4YR JR,147.0,New York Yankees, Brandon,Lockridge, Brandon Lockridge,SignedBonus,297500.0,2018
6,187,North Carolina (NC),P,R/R,4YR JR,147.0,New York Yankees, Rodney,Hutchison, Rodney Hutchison,SignedBonus,197500.0,2018
7,217,Gonzaga (WA),P,R/R,4YR SR,147.0,New York Yankees, Daniel,Bies, Daniel Bies,SignedBonus,147500.0,2018
8,247,Bucknell (PA),P,R/R,4YR SR,147.0,New York Yankees, Connor,Van Hoose, Connor Van Hoose,SignedBonus,7500.0,2018
9,277,Grand Canyon University (AZ),P,R/R,4YR SR,147.0,New York Yankees, Mick,Vorhof, Mick Vorhof,SignedBonus,7500.0,2018
10,307,UNC Charlotte (NC),P,R/L,4YR SR,147.0,New York Yankees, Josh,Maciejewski, Josh Maciejewski,SignedBonus,7500.0,2018
11,337,Florence-Darlington Tech (SC),P,R/R,JC J2,147.0,New York Yankees, Tanner,Myatt, Tanner Myatt,SignedBonus,147500.0,2018
12,367,Virginia Military Institute (VA),2B,R/R,4YR JR,147.0,New York Yankees, Matt,Pita, Matt Pita,SignedBonus,147500.0,2018
13,397,George Washington University (DC),OF,R/R,4YR SR,147.0,New York Yankees, Isaiah,Pasteur, Isaiah Pasteur,SignedBonus,147500.0,2018
14,427,West Virginia (WV),2B,L/R,4YR JR,147.0,New York Yankees, Kyle,Gray, Kyle Gray,SignedBonus,125000.0,2018
15,457,Miami University (OH),P,R/R,4YR JR,147.0,New York Yankees, Nick,Ernst, Nick Ernst,SignedBonus,125000.0,2018
16,487,University of Texas - San Antonio (TX),P,R/R,4YR JR,147.0,New York Yankees, Derek,Craft, Derek Craft,SignedBonus,125000.0,2018
17,517,Arkansas (AR),P,R/R,4YR JR,147.0,New York Yankees, Barrett,Loseke, Barrett Loseke,SignedBonus,125000.0,2018
18,547,Eagle HS (ID),C,L/R,HS SR,147.0,New York Yankees, Alex,Guerrero, Alex Guerrero,SignedBonus,125000.0,2018
19,577,Tennessee Tech (TN),OF,L/L,4YR JR,147.0,New York Yankees, Alex,Junior, Alex Junior,SignedBonus,100000.0,2018
20,607,Tennessee Tech (TN),P,R/R,4YR JR,147.0,New York Yankees, Marcus,Evey, Marcus Evey,SignedBonus,110000.0,2018
21,637,University of British Columbia (BC),3B,R/R,4YR SR,147.0,New York Yankees, Mitchell,Robinson, Mitchell Robinson,SignedBonus,10000.0,2018
22,667,University of Louisiana - Monroe (LA),P,R/R,4YR JR,147.0,New York Yankees, Keegan,Curtis, Keegan Curtis,SignedBonus,10000.0,2018
23,697,Vanderbilt (TN),P,R/R,4YR JR,147.0,New York Yankees, Justin,Wilson, Justin Wilson,SignedBonus,125000.0,2018
24,727,Georgia Southern (GA),P,R/R,4YR JR,147.0,New York Yankees, Blakely,Brown, Blakely Brown,SignedBonus,132000.0,2018
25,757,Dallas Baptist (TX),P,R/R,4YR SR,147.0,New York Yankees, Sean,Boyle, Sean Boyle,SignedBonus,10000.0,2018
26,787,St. Marys (CA),C,L/R,4YR SR,147.0,New York Yankees, Jackson,Thoreson, Jackson Thoreson,SignedBonus,5000.0,2018
27,817,Bryant University (RI),1B,S/R,4YR SR,147.0,New York Yankees, Mickey,Gasper, Mickey Gasper,SignedBonus,5000.0,2018
28,847,Northeastern (MA),SS,R/R,4YR SR,147.0,New York Yankees, Max,Burt, Max Burt,SignedBonus,5000.0,2018
29,877,Liberty University (VA),P,L/R,4YR 5S,147.0,New York Yankees, Jackson,Bertsch, Jackson Bertsch,SignedBonus,5000.0,2018
30,907,Gardner-Webb University (NC),P,R/R,4YR JR,147.0,New York Yankees, Tyler,Johnson, Tyler Johnson,SignedBonus,70000.0,2018
1,9,Oklahoma (OK),OF,R/R,4YR JR,133.0,Oakland Athletics, Kyler,Murray, Kyler Murray,SignedBonus,4660000.0,2018
2,50,Dallas Baptist (TX),CF,L/L,4YR JR,133.0,Oakland Athletics, Jameson,Hannah, Jameson Hannah,SignedBonus,1800000.0,2018
CBB,70,Missouri State (MO),IF,R/R,4YR JR,133.0,Oakland Athletics, Jeremy,Eierman, Jeremy Eierman,SignedBonus,1230000.0,2018
3,85,University of Louisiana - Lafayette (LA),P,R/L,4YR JR,133.0,Oakland Athletics, Hogan,Harris, Hogan Harris,SignedBonus,660000.0,2018
4,113,Arizona (AZ),1B,L/L,4YR JR,133.0,Oakland Athletics, Alfonso,Rivas, Alfonso Rivas,SignedBonus,446500.0,2018
5,143,Ole Miss (MS),P,R/R,4YR SR,133.0,Oakland Athletics, Brady,Feigl, Brady Feigl,SignedBonus,300000.0,2018
6,173,Westlake HS (GA),3B,L/R,HS SR,133.0,Oakland Athletics, Lawrence,Butler, Lawrence Butler,SignedBonus,285000.0,2018
7,203,University of Illinois at Chicago (IL),P,R/R,4YR JR,133.0,Oakland Athletics, Charlie,Cerny, Charlie Cerny,SignedBonus,217200.0,2018
8,233,Florida (FL),C,R/R,4YR SR,133.0,Oakland Athletics, JJ,Schwarz, JJ Schwarz,SignedBonus,140000.0,2018
9,263,Georgia Southern (GA),P,L/R,4YR JR,133.0,Oakland Athletics, Chase,Cohen, Chase Cohen,SignedBonus,140000.0,2018
10,293,UNC Wilmington (NC),P,R/R,4YR JR,133.0,Oakland Athletics, Clark,Cota, Clark Cota,SignedBonus,150000.0,2018
11,323,Washington (WA),P,R/R,4YR JR,133.0,Oakland Athletics, Joe,DeMers, Joe DeMers,SignedBonus,125000.0,2018
12,353,University of Texas - Arlington (TX),OF,L/L,4YR JR,133.0,Oakland Athletics, Noah,Vaughan, Noah Vaughan,SignedBonus,100000.0,2018
13,383,Ole Miss (MS),P,R/R,4YR JR,133.0,Oakland Athletics, Dallas,Woolfolk, Dallas Woolfolk,SignedBonus,50000.0,2018
14,413,Concordia University (MN),P,L/R,4YR JR,133.0,Oakland Athletics, Gus,Varland, Gus Varland,SignedBonus,125000.0,2018
15,443,Auburn (AL),P,R/R,4YR SR,133.0,Oakland Athletics, Calvin,Coker, Calvin Coker,SignedBonus,5000.0,2018
16,473,George Mason (VA),P,R/R,4YR JR,133.0,Oakland Athletics, Bryce,Nightengale, Bryce Nightengale,SignedBonus,50000.0,2018
17,503,Kansas (KS),OF,S/L,4YR JR,133.0,Oakland Athletics, Devin,Foyle, Devin Foyle,SignedBonus,0.0,2018
18,533,Alabama (AL),SS,R/R,4YR JR,133.0,Oakland Athletics, Cobie,Vance, Cobie Vance,SignedBonus,50000.0,2018
19,563,Niagara County CC (NY),C,R/R,JC J1,133.0,Oakland Athletics, Matt,Cross, Matt Cross,SignedBonus,40000.0,2018
20,593,Eastern Michigan (MI),2B,R/R,4YR JR,133.0,Oakland Athletics, Max,Schuemann, Max Schuemann,SignedBonus,45000.0,2018
21,623,Riverside CC (MA),P,L/R,JC J1,133.0,Oakland Athletics, Daniel,Martinez, Daniel Martinez,SignedBonus,40000.0,2018
22,653,Holy Names University (CA),P,R/R,4YR SR,133.0,Oakland Athletics, Aiden,McIntyre, Aiden McIntyre,SignedBonus,1500.0,2018
23,683,South Carolina (SC),3B,R/R,4YR SR,133.0,Oakland Athletics, Jonah,Bride, Jonah Bride,SignedBonus,0.0,2018
24,713,Sam Houston State (TX),P,R/R,4YR SR,133.0,Oakland Athletics, Dakota,Mills, Dakota Mills,SignedBonus,0.0,2018
25,743,Vanderbilt (TN),OF,S/R,4YR JR,133.0,Oakland Athletics, Alonzo,Jones, Alonzo Jones,SignedBonus,65000.0,2018
26,773,ASA College Miami (FL),P,R/R,JC J1,133.0,Oakland Athletics, Leudeny,Pineda, Leudeny Pineda,SignedBonus,25000.0,2018
27,803,San Diego State (CA),OF,L/L,4YR SR,133.0,Oakland Athletics, Chase,Calabuig, Chase Calabuig,SignedBonus,1500.0,2018
28,833,University of Illinois at Chicago (IL),P,L/R,4YR JR,133.0,Oakland Athletics, Reid,Birlingmair, Reid Birlingmair,SignedBonus,50000.0,2018
29,863,McNeese State (LA),P,R/L,4YR SR,133.0,Oakland Athletics, Austin,Briggs, Austin Briggs,SignedBonus,0.0,2018
1,3,Wichita State (KS),3B,R/R,4YR JR,143.0,Philadelphia Phillies, Alec,Bohm, Alec Bohm,SignedBonus,5850000.0,2018
4,107,Cal State Fullerton (CA),P,R/R,4YR JR,143.0,Philadelphia Phillies, Colton,Eastman, Colton Eastman,SignedBonus,522900.0,2018
5,137,Notre Dame (IN),OF,R/R,4YR JR,143.0,Philadelphia Phillies, Matt,Vierling, Matt Vierling,SignedBonus,380000.0,2018
6,167,Tattnall Square Academy (GA),IF,R/R,HS SR,143.0,Philadelphia Phillies, Kendall,Simmons, Kendall Simmons,SignedBonus,750000.0,2018
7,197,Puerto Rico Baseball Academy (PR),P,L/L,HS SR,143.0,Philadelphia Phillies, Gabriel,Cotto, Gabriel Cotto,SignedBonus,270000.0,2018
8,227,Coastal Carolina (SC),SS,L/R,4YR SR,143.0,Philadelphia Phillies, Seth,Lancaster, Seth Lancaster,SignedBonus,10000.0,2018
9,257,Pinole Valley HS (CA),P,R/R,HS SR,143.0,Philadelphia Phillies, Dominic,Pipkin, Dominic Pipkin,SignedBonus,800000.0,2018
10,287,South Carolina (SC),IF,R/R,4YR SR,143.0,Philadelphia Phillies, Madison,Stokes, Madison Stokes,SignedBonus,10000.0,2018
11,317,Stetson University (FL),P,R/R,4YR JR,143.0,Philadelphia Phillies, Jack,Perkins, Jack Perkins,SignedBonus,135000.0,2018
12,347,Ole Miss (MS),P,R/R,4YR JR,143.0,Philadelphia Phillies, James,McArthur, James McArthur,SignedBonus,215000.0,2018
13,377,Carlos Beltran Baseball Academy (PR),SS,R/R,HS SR,143.0,Philadelphia Phillies, Jose,Mercado, Jose Mercado,SignedBonus,125000.0,2018
14,407,Nebraska (NE),C,R/R,4YR JR,143.0,Philadelphia Phillies, Jesse,Wilkening, Jesse Wilkening,SignedBonus,200000.0,2018
15,437,Martin Luther King HS (PA),P,R/R,HS SR,143.0,Philadelphia Phillies, D.J.,Carpenter, D.J. Carpenter,SignedBonus,0.0,2018
16,467,Howard College (TX),P,R/R,JC J2,143.0,Philadelphia Phillies, Tyler,McKay, Tyler McKay,SignedBonus,350000.0,2018
17,497,Wichita State (KS),P,L/L,4YR JR,143.0,Philadelphia Phillies, Keylan,Killgore, Keylan Killgore,SignedBonus,175000.0,2018
18,527,Oklahoma State (OK),3B,R/R,4YR JR,143.0,Philadelphia Phillies, Matt,Kroon, Matt Kroon,SignedBonus,150000.0,2018
19,557,Central Florida (FL),P,R/R,JC J2,143.0,Philadelphia Phillies, Mark,Potter, Mark Potter,SignedBonus,100000.0,2018
20,587,East Carolina (NC),3B,R/R,4YR JR,143.0,Philadelphia Phillies, Connor,Litton, Connor Litton,SignedBonus,85000.0,2018
21,617,Chapel Hill HS (NC),P,R/R,HS SR,143.0,Philadelphia Phillies, Jake,Smith, Jake Smith,SignedBonus,0.0,2018
22,647,Indiana (IN),3B,R/R,4YR JR,143.0,Philadelphia Phillies, Luke,Miller, Luke Miller,SignedBonus,100000.0,2018
23,677,St. John The Baptist HS (NY),C,R/R,HS SR,143.0,Philadelphia Phillies, Logan,O'Hoppe, Logan O'Hoppe,SignedBonus,215000.0,2018
24,707,College of the Canyons (CA),CF,R/R,JC J1,143.0,Philadelphia Phillies, Corbin,Williams, Corbin Williams,SignedBonus,125000.0,2018
25,737,Montana State University Billings (MT),P,R/R,4YR SR,143.0,Philadelphia Phillies, Adam,Cox, Adam Cox,SignedBonus,10000.0,2018
26,767,Southern Arkansas University (AR),P,R/R,4YR SR,143.0,Philadelphia Phillies, Eric,White, Eric White,SignedBonus,60000.0,2018
27,797,North Carolina State (NC),C,R/R,4YR JR,143.0,Philadelphia Phillies, Jack,Conley, Jack Conley,SignedBonus,50000.0,2018
28,827,Manvel HS (TX),P,R/R,HS SR,143.0,Philadelphia Phillies, Jonathan,Jones, Jonathan Jones,SignedBonus,0.0,2018
29,857,Copperas Cove HS (TX),P,L/L,HS SR,143.0,Philadelphia Phillies, Jaylen,Smith, Jaylen Smith,SignedBonus,125000.0,2018
30,887,Martin Luther King HS (PA),P,R/R,HS SR,143.0,Philadelphia Phillies, Brandon,Ramey, Brandon Ramey,SignedBonus,125000.0,2018
31,917,University of South Alabama (AL),P,R/R,4YR SR,143.0,Philadelphia Phillies, Tyler,Carr, Tyler Carr,SignedBonus,5000.0,2018
32,947,Kentucky (KY),OF,R/R,4YR SR,143.0,Philadelphia Phillies, Ben,Aklinski, Ben Aklinski,SignedBonus,100000.0,2018
1,10,University of South Alabama (AL),OF,L/L,4YR JR,134.0,Pittsburgh Pirates, Travis,Swaggerty, Travis Swaggerty,SignedBonus,4400000.0,2018
CBA,36,Fivay HS (FL),P,L/R,HS SR,134.0,Pittsburgh Pirates, Gunnar,Hoglund, Gunnar Hoglund,SignedBonus,0.0,2018
2,51,Robinson HS (TX),P,L/R,HS SR,134.0,Pittsburgh Pirates, Braxton,Ashcraft, Braxton Ashcraft,SignedBonus,1830000.0,2018
3,86,Vanderbilt (TN),IF,R/R,4YR JR,134.0,Pittsburgh Pirates, Connor,Kaiser, Connor Kaiser,SignedBonus,625000.0,2018
4,114,California (CA),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Aaron,Shortridge, Aaron Shortridge,SignedBonus,475000.0,2018
5,144,Arkansas (AR),C,R/R,4YR JR,134.0,Pittsburgh Pirates, Grant,Koch, Grant Koch,SignedBonus,364600.0,2018
6,174,Arizona (AZ),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Michael,Flynn, Michael Flynn,SignedBonus,250000.0,2018
7,204,North Carolina State (NC),RF,L/L,4YR JR,134.0,Pittsburgh Pirates, Brett,Kinneman, Brett Kinneman,SignedBonus,215500.0,2018
8,234,Miami University (OH),P,L/L,4YR JR,134.0,Pittsburgh Pirates, Zach,Spears, Zach Spears,SignedBonus,171800.0,2018
9,264,University of Louisiana - Lafayette (LA),P,R/R,4YR SR,134.0,Pittsburgh Pirates, Logan,Stoelke, Logan Stoelke,SignedBonus,50000.0,2018
10,294,Oregon State (OR),3B,R/R,4YR SR,134.0,Pittsburgh Pirates, Michael,Gretler, Michael Gretler,SignedBonus,50000.0,2018
11,324,Waterford HS (CT),P,R/R,HS SR,134.0,Pittsburgh Pirates, Michael,Burrows, Michael Burrows,SignedBonus,500000.0,2018
12,354,Connecticut (CT),C,L/R,4YR JR,134.0,Pittsburgh Pirates, Zac,Susi, Zac Susi,SignedBonus,125000.0,2018
13,384,Duke (NC),SS,R/R,4YR JR,134.0,Pittsburgh Pirates, Zack,Kone, Zack Kone,SignedBonus,166700.0,2018
14,414,UCLA (CA),LF,R/R,4YR JR,134.0,Pittsburgh Pirates, Daniel,Amaral, Daniel Amaral,SignedBonus,100000.0,2018
15,444,California (CA),CF,L/R,4YR JR,134.0,Pittsburgh Pirates, Jonah,Davis, Jonah Davis,SignedBonus,125000.0,2018
16,474,Randolph-Macon Col (VA),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Colin,Selby, Colin Selby,SignedBonus,125000.0,2018
17,504,Rollins College (FL),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Brad,Case, Brad Case,SignedBonus,100000.0,2018
18,534,St. John's (NY),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Mike,LoPresti, Mike LoPresti,SignedBonus,100000.0,2018
19,564,George Washington University (DC),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Will,Kobos, Will Kobos,SignedBonus,0.0,2018
20,594,St. Marys (CA),P,R/R,4YR JR,134.0,Pittsburgh Pirates, Conner,Loeprich, Conner Loeprich,SignedBonus,0.0,2018
21,624,Carson-Newman College (TN),P,R/R,4YR SR,134.0,Pittsburgh Pirates, Will,Gardner, Will Gardner,SignedBonus,0.0,2018
22,654,Vintage HS (CA),OF,R/R,HS SR,134.0,Pittsburgh Pirates, Jason,Brandow, Jason Brandow,SignedBonus,0.0,2018
23,684,Spanish Fort HS (AL),SS,L/R,HS SR,134.0,Pittsburgh Pirates, Tyler,Miller, Tyler Miller,SignedBonus,0.0,2018
24,714,Cincinnati (OH),P,L/L,4YR JR,134.0,Pittsburgh Pirates, Cam,Alldred, Cam Alldred,SignedBonus,100000.0,2018
25,744,Bradley University (IL),OF,L/R,4YR JR,134.0,Pittsburgh Pirates, Luke,Mangieri, Luke Mangieri,SignedBonus,50000.0,2018
26,774,Vanderbilt (TN),SS,L/R,4YR JR,134.0,Pittsburgh Pirates, Ethan,Paul, Ethan Paul,SignedBonus,0.0,2018
27,804,Arizona (AZ),C,R/R,4YR SR,134.0,Pittsburgh Pirates, Ryan,Haug, Ryan Haug,SignedBonus,0.0,2018
28,834,University of Delaware (DE),1B,R/R,4YR JR,134.0,Pittsburgh Pirates, Nick,Patten, Nick Patten,SignedBonus,0.0,2018
29,864,Canterbury School (FL),OF,L/L,HS SR,134.0,Pittsburgh Pirates, Giovanni,DiGiacomo, Giovanni DiGiacomo,SignedBonus,0.0,2018
1,7,Loretto HS (TN),P,R/L,HS SR,135.0,San Diego Padres, Ryan,Weathers, Ryan Weathers,SignedBonus,5230000.0,2018
CBA,38,North Broward Prep HS (FL),SS,S/R,HS SR,135.0,San Diego Padres, Xavier,Edwards, Xavier Edwards,SignedBonus,2600000.0,2018
CBB,74,Texas Tech (TX),OF,R/R,SO,135.0,San Diego Padres, Grant,Little, Grant Little,SignedBonus,800000.0,2018
3,84,Illinois State (IL),SS,R/R,4YR JR,135.0,San Diego Padres, Owen,Miller, Owen Miller,SignedBonus,500000.0,2018
4,111,Missouri State (MO),P,R/R,4YR JR,135.0,San Diego Padres, Dylan,Coleman, Dylan Coleman,SignedBonus,500000.0,2018
5,141,East Carolina (NC),OF,R/R,4YR JR,135.0,San Diego Padres, Dwanya,Williams-Sutton, Dwanya Williams-Sutton,SignedBonus,350000.0,2018
6,171,Leonides Morales Rodriguez HS (PR),P,L/L,HS SR,135.0,San Diego Padres, Alexuan,Vega, Alexuan Vega,SignedBonus,250000.0,2018
7,201,Rutgers (NJ),OF,R/R,4YR JR,135.0,San Diego Padres, Jawuan,Harris, Jawuan Harris,SignedBonus,215000.0,2018
8,231,Santa Clara University (CA),P,R/R,4YR 5S,135.0,San Diego Padres, Steven,Wilson, Steven Wilson,SignedBonus,5000.0,2018
9,261,Kentucky (KY),2B,S/R,4YR SR,135.0,San Diego Padres, Luke,Becker, Luke Becker,SignedBonus,5000.0,2018
10,291,Texas Tech (TX),P,R/R,4YR SR,135.0,San Diego Padres, Jose,Quezada, Jose Quezada,SignedBonus,5000.0,2018
11,321,Georgia State (GA),C,L/R,4YR JR,135.0,San Diego Padres, Nick,Gatewood, Nick Gatewood,SignedBonus,125000.0,2018
12,351,Muhlenberg HS (PA),2B,R/R,HS SR,135.0,San Diego Padres, Sean,Guilbe, Sean Guilbe,SignedBonus,300000.0,2018
13,381,Maine East HS (IL),P,L/L,HS SR,135.0,San Diego Padres, Antoine,Kelly, Antoine Kelly,SignedBonus,0.0,2018
14,411,Cloud County CC (KS),P,R/L,JC J2,135.0,San Diego Padres, Erik,Sabrowski, Erik Sabrowski,SignedBonus,125000.0,2018
15,441,Fort Recovery HS (OH),P,R/R,HS SR,135.0,San Diego Padres, Nick,Thwaits, Nick Thwaits,SignedBonus,450020.0,2018
16,471,Georgia (GA),OF,R/R,4YR JR,135.0,San Diego Padres, Michael,Curry, Michael Curry,SignedBonus,125000.0,2018
17,501,University of California - Riverside (CA),P,L/L,4YR JR,135.0,San Diego Padres, Hazahel,Quijada, Hazahel Quijada,SignedBonus,125000.0,2018
18,531,Stafford HS (CT),P,R/R,HS SR,135.0,San Diego Padres, Dylan,Smith, Dylan Smith,SignedBonus,0.0,2018
19,561,Northgate HS (CA),P,R/R,HS SR,135.0,San Diego Padres, Ian,Villers, Ian Villers,SignedBonus,0.0,2018
20,591,Fordham (NY),P,L/R,4YR JR,135.0,San Diego Padres, Reiss,Knehr, Reiss Knehr,SignedBonus,80000.0,2018
21,621,Gardner-Webb University (NC),P,R/R,4YR JR,135.0,San Diego Padres, Mason,Fox, Mason Fox,SignedBonus,75000.0,2018
22,651,Strom Thurmond HS (SC),OF,R/R,HS SR,135.0,San Diego Padres, Payton,Smith, Payton Smith,SignedBonus,125000.0,2018
23,681,Miami Dade CC South (FL),P,R/R,JC J2,135.0,San Diego Padres, Nelson L,Alvarez, Nelson L Alvarez,SignedBonus,0.0,2018
24,711,Kent State (OH),3B,L/R,4YR JR,135.0,San Diego Padres, Pavin,Parks, Pavin Parks,SignedBonus,0.0,2018
25,741,Lipscomb University (TN),2B,R/R,4YR SR,135.0,San Diego Padres, Lee,Solomon, Lee Solomon,SignedBonus,1000.0,2018
26,771,Davis Senior HS (CA),P,L/L,HS SR,135.0,San Diego Padres, Tyler,Mortensen, Tyler Mortensen,SignedBonus,125000.0,2018
27,801,Shippensburg University (PA),P,R/R,4YR SR,135.0,San Diego Padres, Gabe,Mosser, Gabe Mosser,SignedBonus,1000.0,2018
28,831,Victor J Andrew HS (IL),3B,S/R,HS SR,135.0,San Diego Padres, Jacob,Plastiak, Jacob Plastiak,SignedBonus,0.0,2018
29,861,Richardson HS (TX),P,R/R,HS SR,135.0,San Diego Padres, William,Duncan, William Duncan,SignedBonus,0.0,2018
1,2,Georgia Tech (GA),C,R/R,4YR JR,137.0,San Francisco Giants, Joey,Bart, Joey Bart,SignedBonus,7030000.0,2018
2,45,Kentucky (KY),P,R/R,4YR JR,137.0,San Francisco Giants, Sean,Hjelle, Sean Hjelle,SignedBonus,1500000.0,2018
3,80,Grand Canyon University (AZ),P,R/R,4YR JR,137.0,San Francisco Giants, Jake,Wong, Jake Wong,SignedBonus,850000.0,2018
4,106,Wallace State CC (AL),P,R/R,JC J2,137.0,San Francisco Giants, Blake,Rivera, Blake Rivera,SignedBonus,800000.0,2018
5,136,Iowa Western CC (IA),P,R/R,JC J2,137.0,San Francisco Giants, Keaton,Winn, Keaton Winn,SignedBonus,500000.0,2018
6,166,Nettleton Senior HS (AR),OF,R/R,HS SR,137.0,San Francisco Giants, P.J.,Hilson, P.J. Hilson,SignedBonus,520000.0,2018
7,196,Puerto Rico Baseball Academy (PR),SS,R/R,HS SR,137.0,San Francisco Giants, Edison,Mora, Edison Mora,SignedBonus,200000.0,2018
8,226,USC (CA),P,R/R,4YR JR,137.0,San Francisco Giants, Solomon,Bates, Solomon Bates,SignedBonus,150000.0,2018
9,256,Central Baptist College (AR),P,R/R,4YR JR,137.0,San Francisco Giants, Ben,Madison, Ben Madison,SignedBonus,140000.0,2018
10,286,Faulkner University (AL),P,R/R,4YR JR,137.0,San Francisco Giants, Alex,DuBord, Alex DuBord,SignedBonus,75000.0,2018
11,316,South Florida (FL),3B,R/R,4YR JR,137.0,San Francisco Giants, David,Villar, David Villar,SignedBonus,125000.0,2018
12,346,Arizona Western College (AZ),3B,R/R,JC J2,137.0,San Francisco Giants, Sean,Roby, Sean Roby,SignedBonus,150000.0,2018
13,376,Connors State (OK),OF,R/R,JC J2,137.0,San Francisco Giants, George,Bell, George Bell,SignedBonus,125000.0,2018
14,406,Central Florida (FL),P,L/L,4YR JR,137.0,San Francisco Giants, Bryce,Tucker, Bryce Tucker,SignedBonus,125000.0,2018
15,436,UNC Greensboro (NC),P,R/R,4YR JR,137.0,San Francisco Giants, Matt,Frisbee, Matt Frisbee,SignedBonus,125000.0,2018
16,466,University of California - Riverside (CA),P,R/R,4YR JR,137.0,San Francisco Giants, Trenton,Toplikar, Trenton Toplikar,SignedBonus,125000.0,2018
17,496,Ole Miss (MS),CF,R/R,4YR JR,137.0,San Francisco Giants, Ryan,Olenek, Ryan Olenek,SignedBonus,0.0,2018
18,526,Leadership Christian Academy (PR),RF,R/R,HS SR,137.0,San Francisco Giants, Bryan,Hernandez, Bryan Hernandez,SignedBonus,290000.0,2018
19,556,Winston-Salem State University (NC),OF,R/R,4YR JR,137.0,San Francisco Giants, Randy,Norris, Randy Norris,SignedBonus,125000.0,2018
20,586,Alabama (AL),SS,S/R,4YR JR,137.0,San Francisco Giants, Jett,Manning, Jett Manning,SignedBonus,100000.0,2018
21,616,Carlos Beltran Baseball Academy (PR),C,R/R,HS SR,137.0,San Francisco Giants, Angel,Guzman, Angel Guzman,SignedBonus,62500.0,2018
22,646,University of Tampa (FL),P,R/R,4YR JR,137.0,San Francisco Giants, Clay,Helvey, Clay Helvey,SignedBonus,50000.0,2018
23,676,Northeastern State University (OK),P,R/R,4YR JR,137.0,San Francisco Giants, Ben,Strahm, Ben Strahm,SignedBonus,1500.0,2018
24,706,The Masters College (CA),P,R/R,4YR JR,137.0,San Francisco Giants, Preston,White, Preston White,SignedBonus,85000.0,2018
25,736,Manhattan College (NY),C,R/R,4YR JR,137.0,San Francisco Giants, Fabian,Pena, Fabian Pena,SignedBonus,100000.0,2018
26,766,College of the Canyons (CA),P,L/L,JC J2,137.0,San Francisco Giants, Jacob,Lopez, Jacob Lopez,SignedBonus,150000.0,2018
27,796,Texas Tech (TX),P,L/L,4YR 5S,137.0,San Francisco Giants, Dylan,Dusek, Dylan Dusek,SignedBonus,2500.0,2018
28,826,Indian River State (FL),P,R/R,JC J2,137.0,San Francisco Giants, Travis,Perry, Travis Perry,SignedBonus,125000.0,2018
29,856,Siena College (NY),SS,R/R,4YR JR,137.0,San Francisco Giants, Marcos,Campos, Marcos Campos,SignedBonus,50000.0,2018
30,886,Northwestern State (LA),LF,L/L,4YR SR,137.0,San Francisco Giants, Kwan,Adkins, Kwan Adkins,SignedBonus,2500.0,2018
1,14,Stetson University (FL),P,R/R,4YR JR,136.0,Seattle Mariners, Logan,Gilbert, Logan Gilbert,SignedBonus,3880000.0,2018
2,54,Louisville (KY),OF,R/R,4YR JR,136.0,Seattle Mariners, Josh,Stowers, Josh Stowers,SignedBonus,1100000.0,2018
3,90,Florida State (FL),C,S/R,4YR JR,136.0,Seattle Mariners, Cal,Raleigh, Cal Raleigh,SignedBonus,854000.0,2018
4,118,Missouri (MO),P,L/L,4YR JR,136.0,Seattle Mariners, Michael,Plassmeyer, Michael Plassmeyer,SignedBonus,425000.0,2018
5,148,Texas A&M (TX),P,R/R,4YR JR,136.0,Seattle Mariners, Nolan,Hoffman, Nolan Hoffman,SignedBonus,300000.0,2018
6,178,College of Southern Nevada (NV),P,R/R,JC J2,136.0,Seattle Mariners, Joey,O'Brien, Joey O'Brien,SignedBonus,225000.0,2018
7,208,Nova Southeastern University (FL),C,R/R,4YR JR,136.0,Seattle Mariners, Jake,Anchia, Jake Anchia,SignedBonus,200000.0,2018
8,238,University of Illinois (IL),P,R/R,4YR JR,136.0,Seattle Mariners, Joey,Gerber, Joey Gerber,SignedBonus,167400.0,2018
9,268,Georgia (GA),OF,L/R,4YR SR,136.0,Seattle Mariners, Keegan,McGovern, Keegan McGovern,SignedBonus,65000.0,2018
10,298,Troy University (AL),SS,R/R,4YR SR,136.0,Seattle Mariners, Matt,Sanders, Matt Sanders,SignedBonus,10000.0,2018
11,328,Kings Way Christian Schools (WA),--,--,HS SR,136.0,Seattle Mariners,,--,,SignedBonus,325000.0,2018
12,358,Elon University (NC),SS,R/R,4YR JR,136.0,Seattle Mariners, Ryne,Ogren, Ryne Ogren,SignedBonus,125000.0,2018
13,388,Northeastern (MA),OF,L/R,4YR JR,136.0,Seattle Mariners, Charlie,McConnell, Charlie McConnell,SignedBonus,0.0,2018
14,418,Indian River State (FL),P,R/R,JC J2,136.0,Seattle Mariners, Tyler,Suellentrop, Tyler Suellentrop,SignedBonus,125000.0,2018
